id;Gemeente;Screening;Percentage;
1842;Midden-Delfland;Darmkanker 2024;75,4;
824;Oisterwijk;Borstkanker 2022-2024;75,4;
1926;Pijnacker-Nootdorp;Borstkanker 2022-2024;75,4;
848;Son en Breugel;Darmkanker 2024;75,4;
984;Venray;Borstkanker 2022-2024;75,4;
879;Zundert;Borstkanker 2022-2024;75,4;
383;Castricum;Borstkanker 2022-2024;75,3;
385;Edam-Volendam;Borstkanker 2022-2024;75,3;
907;Gennep;Borstkanker 2022-2024;75,3;
1963;Hoeksche Waard;Borstkanker 2022-2024;75,3;
1955;Montferland;Borstkanker 2022-2024;75,3;
441;Schagen;Borstkanker 2022-2024;75,3;
852;Waterland;Borstkanker 2022-2024;75,3;
189;Wierden;Darmkanker 2024;75,3;
1940;De Fryske Marren;Borstkanker 2022-2024;75,2;
331;Lopik;Borstkanker 2022-2024;75,2;
1901;Bodegraven-Reeuwijk;Darmkanker 2024;75,1;
147;Borne;Borstkanker 2022-2024;75,1;
225;Druten;Darmkanker 2024;75,1;
166;Kampen;Borstkanker 2022-2024;75,1;
1640;Leudal;Darmkanker 2024;75,1;
553;Lisse;Borstkanker 2022-2024;75,1;
262;Lochem;Darmkanker 2024;75,1;
119;Meppel;Borstkanker 2022-2024;75,1;
579;Oegstgeest;Borstkanker 2022-2024;75,1;
824;Oisterwijk;Darmkanker 2024;75,1;
1969;Westerkwartier;Borstkanker 2022-2024;75,1;
296;Wijchen;Borstkanker 2022-2024;75,1;
222;Doetinchem;Borstkanker 2022-2024;75;
626;Voorschoten;Borstkanker 2022-2024;75;
1959;Altena;Borstkanker 2022-2024;74,9;
1876;Bronckhorst;Darmkanker 2024;74,9;
246;Heerde;Borstkanker 2022-2024;74,9;
1598;Koggenland;Darmkanker 2024;74,9;
1783;Westland;Borstkanker 2022-2024;74,9;
879;Zundert;Darmkanker 2024;74,9;
482;Alblasserdam;Borstkanker 2022-2024;74,8;
753;Best;Borstkanker 2022-2024;74,8;
1729;Gulpen-Wittem;Borstkanker 2022-2024;74,8;
302;Nunspeet;Borstkanker 2022-2024;74,8;
432;Opmeer;Borstkanker 2022-2024;74,8;
784;Gilze en Rijen;Borstkanker 2022-2024;74,7;
244;Hattem;Darmkanker 2024;74,7;
321;Houten;Darmkanker 2024;74,7;
1955;Montferland;Darmkanker 2024;74,7;
944;Mook en Middelaar;Borstkanker 2022-2024;74,7;
431;Oostzaan;Borstkanker 2022-2024;74,7;
861;Veldhoven;Borstkanker 2022-2024;74,7;
293;Westervoort;Borstkanker 2022-2024;74,7;
297;Zaltbommel;Borstkanker 2022-2024;74,7;
1723;Alphen-Chaam;Darmkanker 2024;74,6;
1901;Bodegraven-Reeuwijk;Borstkanker 2022-2024;74,6;
1966;Het Hogeland;Borstkanker 2022-2024;74,6;
537;Katwijk;Borstkanker 2022-2024;74,6;
335;Montfoort;Darmkanker 2024;74,6;
269;Oldebroek;Borstkanker 2022-2024;74,6;
852;Waterland;Darmkanker 2024;74,6;
299;Zevenaar;Darmkanker 2024;74,6;
197;Aalten;Darmkanker 2024;74,5;
498;Drechterland;Borstkanker 2022-2024;74,5;
415;Landsmeer;Darmkanker 2024;74,5;
327;Leusden;Darmkanker 2024;74,5;
1641;Maasgouw;Darmkanker 2024;74,5;
971;Stein;Borstkanker 2022-2024;74,5;
1525;Teylingen;Darmkanker 2024;74,5;
450;Uitgeest;Darmkanker 2024;74,5;
717;Veere;Darmkanker 2024;74,5;
986;Voerendaal;Darmkanker 2024;74,5;
209;Beuningen;Borstkanker 2022-2024;74,4;
1655;Halderberge;Darmkanker 2024;74,4;
1655;Halderberge;Borstkanker 2022-2024;74,4;
252;Heumen;Borstkanker 2022-2024;74,4;
1911;Hollands Kroon;Borstkanker 2022-2024;74,4;
809;Loon op Zand;Darmkanker 2024;74,4;
1669;Roerdalen;Borstkanker 2022-2024;74,4;
293;Westervoort;Darmkanker 2024;74,4;
147;Borne;Darmkanker 2024;74,3;
399;Heiloo;Darmkanker 2024;74,3;
1621;Lansingerland;Borstkanker 2022-2024;74,3;
547;Leiderdorp;Borstkanker 2022-2024;74,3;
1709;Moerdijk;Borstkanker 2022-2024;74,3;
569;Nieuwkoop;Borstkanker 2022-2024;74,3;
98;Weststellingwerf;Borstkanker 2022-2024;74,3;
880;Wormerland;Borstkanker 2022-2024;74,3;
889;Beesel;Darmkanker 2024;74,2;
531;Hendrik-Ido-Ambacht;Borstkanker 2022-2024;74,2;
938;Meerssen;Darmkanker 2024;74,2;
431;Oostzaan;Darmkanker 2024;74,2;
448;Texel;Borstkanker 2022-2024;74,2;
865;Vught;Darmkanker 2024;74,2;
1892;Zuidplas;Borstkanker 2022-2024;74,2;
1598;Koggenland;Borstkanker 2022-2024;74,1;
1730;Tynaarlo;Darmkanker 2024;74,1;
383;Castricum;Darmkanker 2024;74;
1711;Echt-Susteren;Borstkanker 2022-2024;74;
1979;Eemsdelta;Borstkanker 2022-2024;74;
1931;Krimpenerwaard;Darmkanker 2024;74;
627;Waddinxveen;Borstkanker 2022-2024;74;
158;Haaksbergen;Darmkanker 2024;73,9;
858;Valkenswaard;Darmkanker 2024;73,9;
717;Veere;Borstkanker 2022-2024;73,9;
861;Veldhoven;Darmkanker 2024;73,9;
1701;Westerveld;Borstkanker 2022-2024;73,9;
632;Woerden;Borstkanker 2022-2024;73,9;
312;Bunnik;Darmkanker 2024;73,8;
313;Bunschoten;Darmkanker 2024;73,8;
321;Houten;Borstkanker 2022-2024;73,8;
553;Lisse;Darmkanker 2024;73,8;
93;Terschelling;Darmkanker 2024;73,8;
1960;West Betuwe;Borstkanker 2022-2024;73,8;
352;Wijk bij Duurstede;Darmkanker 2024;73,8;
907;Gennep;Darmkanker 2024;73,7;
1729;Gulpen-Wittem;Darmkanker 2024;73,7;
302;Nunspeet;Darmkanker 2024;73,7;
828;Oss;Borstkanker 2022-2024;73,7;
339;Renswoude;Borstkanker 2022-2024;73,7;
1681;Borger-Odoorn;Borstkanker 2022-2024;73,6;
109;Coevorden;Darmkanker 2024;73,6;
420;Medemblik;Borstkanker 2022-2024;73,6;
851;Steenbergen;Borstkanker 2022-2024;73,6;
93;Terschelling;Borstkanker 2022-2024;73,6;
1945;Berg en Dal;Darmkanker 2024;73,5;
214;Buren;Borstkanker 2022-2024;73,5;
168;Losser;Darmkanker 2024;73,5;
1961;Vijfheerenlanden;Borstkanker 2022-2024;73,5;
232;Epe;Borstkanker 2022-2024;73,4;
263;Maasdriel;Borstkanker 2022-2024;73,4;
420;Medemblik;Darmkanker 2024;73,4;
1699;Noordenveld;Darmkanker 2024;73,4;
590;Papendrecht;Borstkanker 2022-2024;73,4;
1859;Berkelland;Darmkanker 2024;73,3;
377;Bloemendaal;Borstkanker 2022-2024;73,3;
678;Kapelle;Darmkanker 2024;73,3;
267;Nijkerk;Darmkanker 2024;73,3;
86;Opsterland;Borstkanker 2022-2024;73,3;
273;Putten;Darmkanker 2024;73,3;
213;Brummen;Darmkanker 2024;73,2;
213;Brummen;Borstkanker 2022-2024;73,2;
